episode	category	path	description	nsteps	app
10000000000000000054	generated	jetcaster/trace_54	Select Business category, browse podcasts, subscribe to one, view details, and play episode	8	Jetcaster
10000000000000000055	generated	jetcaster/trace_55	Play episode, pause, skip backward, add another to queue, skip forward, then resume	8	Jetcaster
10000000000000000056	generated	jetcaster/trace_56	Navigate to podcast details, subscribe, add episode to queue, play, pause, and navigate back	8	Jetcaster
10000000000000000057	generated	jetcaster/trace_57	Select Science category, view multiple podcasts, subscribe to one, and play its latest episode	8	Jetcaster
10000000000000000058	generated	jetcaster/trace_58	Switch between Discover and Library, select category, subscribe, and play episode	8	Jetcaster
10000000000000000059	generated	jetcaster/trace_59	Open Library, select subscribed podcast, view episodes, add multiple to queue, and play first	8	Jetcaster
10000000000000000060	generated	jetcaster/trace_60	Select category, browse podcasts, subscribe to two different ones, and play from first	8	Jetcaster
10000000000000000061	generated	jetcaster/trace_61	Select Technology category, subscribe to podcast, navigate to details, add episode to queue, play, and pause	9	Jetcaster
10000000000000000062	generated	jetcaster/trace_62	Open Library tab, select podcast, view details, subscribe if needed, add episode to queue, play, and skip forward	9	Jetcaster
10000000000000000063	generated	jetcaster/trace_63	Select Business category, browse podcasts, subscribe to one, view details, add episode to queue, and play	9	Jetcaster
10000000000000000064	generated	jetcaster/trace_64	Play episode, pause, skip backward, add another to queue, skip forward, resume, then pause again	9	Jetcaster
10000000000000000065	generated	jetcaster/trace_65	Navigate to podcast details, subscribe, add episode to queue, play, pause, skip forward, and navigate back	9	Jetcaster
10000000000000000066	generated	jetcaster/trace_66	Select Science category, view multiple podcasts, subscribe to one, navigate to details, and play episode	9	Jetcaster
10000000000000000067	generated	jetcaster/trace_67	Switch between categories, select Technology, subscribe to podcast, add episode to queue, and play	9	Jetcaster
10000000000000000068	generated	jetcaster/trace_68	Open Library, select subscribed podcast, view episodes, add multiple to queue, play first, and pause	9	Jetcaster
10000000000000000069	generated	jetcaster/trace_69	Select category, browse podcasts, subscribe to two, navigate to first podcast details, and play episode	9	Jetcaster
10000000000000000070	generated	jetcaster/trace_70	Play episode, skip forward, pause, add another to queue, remove first from queue, then play second	9	Jetcaster
10000000000000000071	generated	jetcaster/trace_71	Select Technology category, subscribe to podcast, navigate to details, add episode to queue, play, pause, and skip forward	10	Jetcaster
10000000000000000072	generated	jetcaster/trace_72	Open Library tab, select podcast, view details, subscribe if needed, add episode to queue, play, skip forward, and pause	10	Jetcaster
10000000000000000073	generated	jetcaster/trace_73	Select Business category, browse podcasts, subscribe to one, view details, add episode to queue, play, and navigate back	10	Jetcaster
10000000000000000074	generated	jetcaster/trace_74	Play episode, pause, skip backward, add another to queue, skip forward, resume, pause, then remove from queue	10	Jetcaster
10000000000000000075	generated	jetcaster/trace_75	Navigate to podcast details, subscribe, add episode to queue, play, pause, skip forward, skip backward, and navigate back	10	Jetcaster
10000000000000000076	generated	jetcaster/trace_76	Select Science category, view multiple podcasts, subscribe to one, navigate to details, add episode to queue, and play	10	Jetcaster
10000000000000000077	generated	jetcaster/trace_77	Switch between categories, select Technology, subscribe to podcast, navigate to details, add episode to queue, and play	10	Jetcaster
10000000000000000078	generated	jetcaster/trace_78	Open Library, select subscribed podcast, view episodes, add multiple to queue, play first, pause, skip forward, and resume	10	Jetcaster
10000000000000000079	generated	jetcaster/trace_79	Select category, browse podcasts, subscribe to two, navigate to first podcast details, add episode to queue, and play	10	Jetcaster
10000000000000000080	generated	jetcaster/trace_80	Play episode, skip forward, pause, add another to queue, remove first from queue, play second, pause, and navigate back	10	Jetcaster

